gene_id	cis.lfc	Sascha
FBgn0265959	5.429247673	MEI (bal)
FBgn0034085	5.101269149	MEI (bal)
FBgn0051116	4.912389128	MEI (bal)
FBgn0267160	4.599543574	DUP
FBgn0015038	4.598377231	MEI (bal)
FBgn0031461	4.360141998	unclear
FBgn0036403	4.313849015	unclear
FBgn0038783	4.161353714	unclear
FBgn0002645	3.821765379	?
FBgn0047351	3.764621405	MEI (bal)
FBgn0031414	3.749672459	MEI (bal)
FBgn0026309	3.745052863	?
FBgn0052985	3.673713658	MEI (bal)
FBgn0039380	3.656867281	unclear
FBgn0265912	3.650120083	MEI (bal)
FBgn0262902	3.605118329	FP
FBgn0038462	3.58286499	?
FBgn0266211	3.481842601	unclear
FBgn0086604	3.446841856	unclear
FBgn0038461	3.308941816	?
FBgn0039315	3.284381465	unclear
FBgn0040091	3.276578933	?
FBgn0051728	3.243118521	?
FBgn0036224	3.205844602	MEI (bal)
FBgn0051164	3.095625908	MEI (bal)
FBgn0039053	3.087475264	?
FBgn0051812	3.023261094	?
FBgn0036868	2.934813041	?
FBgn0036485	2.933841592	?
FBgn0043578	2.883393469	unclear
FBgn0050044	2.808836667	MEI (bal)
FBgn0032082	2.73851754	?
FBgn0063667	2.667489638	?
FBgn0033469	2.664421966	MEI (bal)
FBgn0040732	2.493865606	?
FBgn0038542	2.478710658	unclear
FBgn0014184	2.415134396	?
FBgn0024150	2.412976306	MEI (bal)
FBgn0027552	2.391885648	MEI (bal)
FBgn0043005	2.345935809	MEI (bal)
FBgn0003388	2.277380962	?
FBgn0044020	2.274500474	?
FBgn0035189	2.260547744	?
FBgn0042110	2.255972278	?
FBgn0038784	2.191830816	MEI (bal)
FBgn0038632	2.149860099	?
FBgn0031219	2.117446817	MEI (bal)
FBgn0053926	2.103677889	?
FBgn0004583	2.034820829	?
FBgn0051690	2.019743074	?
FBgn0083141	2.018117254	MEI (bal)
FBgn0039104	2.012702356	MEI (bal)
FBgn0031220	2.007560522	MEI (bal)
FBgn0052026	1.994095191	unclear
FBgn0039585	1.96244477	?
FBgn0036488	1.95956795	?
FBgn0054010	1.94585836	?
FBgn0040809	1.927930469	FP
FBgn0050259	1.906920177	?
FBgn0033921	1.901579379	?
FBgn0039821	1.901434571	?
FBgn0035287	1.893109959	?
FBgn0032775	1.879111047	?
FBgn0264000	1.875820059	?
FBgn0039048	1.827779948	?
FBgn0038290	1.811711576	DUP
FBgn0054057	1.778382962	unclear
FBgn0038053	1.764791075	unclear
FBgn0036410	1.764745337	unclear
FBgn0034200	1.724370164	?
FBgn0032235	1.718447325	unclear
